"AtomId";"Name";"SourceName";"SourceGroupName";"GroupsOfSourceGroupName";"IsPaidName";"CampaignId";"AdsetId";"AdId"
104;org...;Yandex Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
112;ref...;Yandex Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
113;ref...;Yandex Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
115;ref...;Yandex Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
116;ref...;Yandex Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
118;ref...;Yandex Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
119;ref...;Yandex Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
120;ref...;Yandex Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
121;ref...;Yandex Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
117;ref...;Google Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
103;org...;Google Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
107;org...;Yahoo Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
109;org...;Ask Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
105;org...;Bing Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
108;org...;DuckDuckGo Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
114;ref...;DuckDuckGo Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
110;org...;mail.ru Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
106;org...;Rambler Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
102;org...;Other Organic;SEO;SEO;Free;No CampaignID;No AdsetID;No AdID
101;typ...;Type-in;Type-in;Type-in | Refferal;Free;No CampaignID;No AdsetID;No AdID
111;ref...;Refferal;Referral;Type-in | Refferal;Free;No CampaignID;No AdsetID;No AdID
122;soc...;Social;Referral;Type-in | Refferal;Free;No CampaignID;No AdsetID;No AdID
123;soc...;Social;Referral;Type-in | Refferal;Free;No CampaignID;No AdsetID;No AdID
124;soc...;Social;Referral;Type-in | Refferal;Free;No CampaignID;No AdsetID;No AdID
125;soc...;Social;Referral;Type-in | Refferal;Free;No CampaignID;No AdsetID;No AdID
126;soc...;Social;Referral;Type-in | Refferal;Free;No CampaignID;No AdsetID;No AdID
127;soc...;Social;Referral;Type-in | Refferal;Free;No CampaignID;No AdsetID;No AdID
128;soc...;Social;Referral;Type-in | Refferal;Free;No CampaignID;No AdsetID;No AdID
129;soc...;Social;Referral;Type-in | Refferal;Free;No CampaignID;No AdsetID;No AdID
130;soc...;Social;Referral;Type-in | Refferal;Free;No CampaignID;No AdsetID;No AdID
131;yan...;Yandex.Direct (common);Yandex Direct;Ads;Paid;No CampaignID;No AdsetID;No AdID
136;yab...;Yandex.Direct (common);Yandex Direct;Ads;Paid;No CampaignID;No AdsetID;No AdID
132;goo...;Google Ads (common);Google Ads;Ads;Paid;No CampaignID;No AdsetID;No AdID
-2;GAd...;Google Ads (common);Google Ads;Ads;Paid;No CampaignID;No AdsetID;No AdID
-42;Unk...;Google Ads (common);Google Ads;Ads;Paid;No CampaignID;No AdsetID;No AdID
-41;Unk...;Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;No AdID
-3;Fac...;Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;No AdID
137;fac...;Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;No AdID
133;fac...;Facebook + Instagram;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;No AdID
134;vk ...;Vk;VK;Target Ads;Paid;No CampaignID;No AdsetID;No AdID
135;myt...;MyTarget;MyTarget;Target Ads;Paid;No CampaignID;No AdsetID;No AdID
138;Kla...;Email mailings;Mailings;Mailings;Free;No CampaignID;No AdsetID;No AdID
142;Act...;Email mailings;Mailings;Mailings;Free;No CampaignID;No AdsetID;No AdID
143;hs_...;Email mailings;Mailings;Mailings;Free;No CampaignID;No AdsetID;No AdID
144;ema...;Email mailings;Mailings;Mailings;Free;No CampaignID;No AdsetID;No AdID
140;Ins...;Instagram SMM;SMM;Affiliate \ Influencers;Paid;No CampaignID;No AdsetID;No AdID
139;Tik...;TikTok SMM;SMM;Affiliate \ Influencers;Paid;No CampaignID;No AdsetID;No AdID
141;lik...;Likeshop.me;Referral;Type-in | Refferal;Free;No CampaignID;No AdsetID;No AdID
10001;"20088286757";Google Ads (common);Google Ads;Ads;Paid;"20088286757";"148058111279";"657557065865"
10687;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";No AdsetID;No AdID
10002;"20088286757";Google Ads (common);Google Ads;Ads;Paid;"20088286757";"148058111279";"661832858623"
10003;"20398795630";Google Ads (common);Google Ads;Ads;Paid;"20398795630";"153202902842";"666673187673"
10004;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"636112731524"
10668;"21415697961";Google Ads (common);Google Ads;Ads;Paid;"21415697961";"163669356403";"704186864389"
10897;"21523220323";Google Ads (common);Google Ads;Ads;Paid;"21523220323";"163820354765";"707603275355"
10005;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"635987865828"
10006;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"635878634366"
10979;"21645002295";Google Ads Search;Google Ads;Ads;Paid;"21645002295";"166273474226";"711813300911"
10007;"19334463811";Google Ads (common);Google Ads;Ads;Paid;"19334463811";"145180358112";"642315822146"
10008;"20088286757";Google Ads (common);Google Ads;Ads;Paid;"20088286757";"148058111279";"657557065853"
10896;"21523220323";Google Ads (common);Google Ads;Ads;Paid;"21523220323";No AdsetID;No AdID
10009;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"636054414430"
10010;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"635988033552"
10011;"20890867365";Google Ads (common);Google Ads;Ads;Paid;"20890867365";"162878066531";"685986622976"
10012;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"636037762755"
10688;"21089580691";Google Ads (common);Google Ads;Ads;Paid;"21089580691";No AdsetID;No AdID
10013;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"635754710841"
10014;"20755219575";Google Ads (common);Google Ads;Ads;Paid;"20755219575";"164036050948";"681665390098"
10980;"21642587645";Google Ads Search;Google Ads;Ads;Paid;"21642587645";"167455769478";"711457420471"
10015;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"636104095624"
10016;"20755219575";Google Ads (common);Google Ads;Ads;Paid;"20755219575";"164036050948";"680227469503"
10017;"21297330465";Google Ads Search;Google Ads;Ads;Paid;"21297330465";"163321277675";"701078823786"
10689;"21383233590";Google Ads (common);Google Ads;Ads;Paid;"21383233590";No AdsetID;No AdID
10018;"21303671426";Google Ads Search;Google Ads;Ads;Paid;"21303671426";"163145144152";"699848447925"
10019;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"636054501568"
10020;"20398795630";Google Ads (common);Google Ads;Ads;Paid;"20398795630";"153202902842";"666673187661"
10898;"21523220323";Google Ads Search;Google Ads;Ads;Paid;"21523220323";"163820354805";"707603275358"
10021;"20398795630";Google Ads (common);Google Ads;Ads;Paid;"20398795630";"153202902842";"666673187664"
10022;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"636054385414"
10023;"20088286757";Google Ads (common);Google Ads;Ads;Paid;"20088286757";"148058111279";"657557065850"
10024;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"636054636406"
10025;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"635878835924"
10026;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"635988058239"
10027;"21089580691";Google Ads (common);Google Ads;Ads;Paid;"21089580691";"158101890405";"693048780709"
10028;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"636162575906"
10690;"21448671755";Google Ads (common);Google Ads;Ads;Paid;"21448671755";No AdsetID;No AdID
10029;"20398795630";Google Ads (common);Google Ads;Ads;Paid;"20398795630";"153202902842";"666673187679"
10691;"21421572443";Google Ads (common);Google Ads;Ads;Paid;"21421572443";No AdsetID;No AdID
10030;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"635820974362"
10692;"21079612212";Google Ads Search;Google Ads;Ads;Paid;"21079612212";No AdsetID;No AdID
10031;"21079612212";Google Ads Search;Google Ads;Ads;Paid;"21079612212";"162503389849";"693050411950"
10032;"20088286757";Google Ads (common);Google Ads;Ads;Paid;"20088286757";"148058111279";"657557065859"
10693;"21297330465";Google Ads (common);Google Ads;Ads;Paid;"21297330465";No AdsetID;No AdID
10033;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"635878531601"
10694;"21079589481";Google Ads Search;Google Ads;Ads;Paid;"21079589481";No AdsetID;No AdID
10034;"20398795630";Google Ads (common);Google Ads;Ads;Paid;"20398795630";"153202902842";"666673187676"
10035;"20088286757";Google Ads (common);Google Ads;Ads;Paid;"20088286757";"148058111279";"657557065856"
10036;"21079589481";Google Ads Search;Google Ads;Ads;Paid;"21079589481";"161157693073";"693107380958"
10037;"20890867365";Google Ads (common);Google Ads;Ads;Paid;"20890867365";"162878066531";"685986622973"
10695;"21303671426";Google Ads Search;Google Ads;Ads;Paid;"21303671426";No AdsetID;No AdID
10696;"21421658372";Google Ads (common);Google Ads;Ads;Paid;"21421658372";No AdsetID;No AdID
10697;"21415697961";Google Ads (common);Google Ads;Ads;Paid;"21415697961";No AdsetID;No AdID
10038;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"636054718696"
10977;"21645002295";Google Ads (common);Google Ads;Ads;Paid;"21645002295";No AdsetID;No AdID
10039;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"635820354931"
10040;"20890867365";Google Ads (common);Google Ads;Ads;Paid;"20890867365";"162878066531";"685986622970"
10041;"20398795630";Google Ads (common);Google Ads;Ads;Paid;"20398795630";"153202902842";"666673187667"
10698;"21089653192";Google Ads Search;Google Ads;Ads;Paid;"21089653192";No AdsetID;No AdID
10042;"21089653192";Google Ads Search;Google Ads;Ads;Paid;"21089653192";"162730522987";"693050784145"
10699;"21442112616";Google Ads (common);Google Ads;Ads;Paid;"21442112616";No AdsetID;No AdID
10700;"20890867365";Google Ads (common);Google Ads;Ads;Paid;"20890867365";No AdsetID;No AdID
10820;"21492146865";Google Ads (common);Google Ads;Ads;Paid;"21492146865";No AdsetID;No AdID
10043;"21303671426";Google Ads (common);Google Ads;Ads;Paid;"21303671426";"163145144112";"699848447928"
10044;"20088286757";Google Ads (common);Google Ads;Ads;Paid;"20088286757";"148058111279";"657557065862"
10045;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"636112878125"
10701;"20088286757";Google Ads (common);Google Ads;Ads;Paid;"20088286757";No AdsetID;No AdID
10702;"20755219575";Google Ads (common);Google Ads;Ads;Paid;"20755219575";No AdsetID;No AdID
10674;"21415697961";Google Ads (common);Google Ads;Ads;Paid;"21415697961";"164460508935";"704614880792"
10978;"21642587645";Google Ads (common);Google Ads;Ads;Paid;"21642587645";No AdsetID;No AdID
10046;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"635617078204"
10703;"18952398665";Google Ads (common);Google Ads;Ads;Paid;"18952398665";No AdsetID;No AdID
10047;"21089580691";Google Ads Search;Google Ads;Ads;Paid;"21089580691";"163580455350";"693048600139"
10048;"20398795630";Google Ads (common);Google Ads;Ads;Paid;"20398795630";"153202902842";"666673187682"
10049;"20398795630";Google Ads (common);Google Ads;Ads;Paid;"20398795630";"153202902842";"666673187670"
10704;"20398795630";Google Ads (common);Google Ads;Ads;Paid;"20398795630";No AdsetID;No AdID
10705;"19334463811";Google Ads (common);Google Ads;Ads;Paid;"19334463811";No AdsetID;No AdID
10050;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"636112450769"
10051;"18945631893";Google Ads (common);Google Ads;Ads;Paid;"18945631893";"138829923290";"635616029710"
10706;"21394748831";Google Ads (common);Google Ads;Ads;Paid;"21394748831";No AdsetID;No AdID
10052;"21297330465";Google Ads Search;Google Ads;Ads;Paid;"21297330465";"163321277675";"699849569220"
10053;"23844182615230015";Facebook;Facebook and Instagram;Target Ads;Paid;"23844182615230015";"23844182615250015";"23844182615270015"
10054;"23844182615230015";Facebook;Facebook and Instagram;Target Ads;Paid;"23844182615230015";"23844182615250015";"23844182615870015"
10055;"23844182615230015";Facebook;Facebook and Instagram;Target Ads;Paid;"23844182615230015";"23844182615250015";"23844182641560015"
10056;"23844182615230015";Facebook;Facebook and Instagram;Target Ads;Paid;"23844182615230015";"23844182615250015";"23844182656050015"
10057;"23844182615230015";Facebook;Facebook and Instagram;Target Ads;Paid;"23844182615230015";"23844182615250015";"23844182659180015"
10058;"23846442638550015";Facebook;Facebook and Instagram;Target Ads;Paid;"23846442638550015";"23846442638580015";"23846442638620015"
10059;"23849302175490015";Facebook;Facebook and Instagram;Target Ads;Paid;"23849302175490015";"23849302175500015";"23849302175480015"
10060;"23849302175490015";Facebook;Facebook and Instagram;Target Ads;Paid;"23849302175490015";"23849302175500015";"23849302548820015"
10061;"23852564236520015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23852564236520015"
10062;"23852644673940015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23852644673940015"
10063;"23853050328150015";Facebook;Facebook and Instagram;Target Ads;Paid;"23853050328150015";"23853050328200015";"23853050328230015"
10064;"23853050338610015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23853050338610015"
10065;"23853056281290015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23853056281290015"
10066;"23853058958480015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23853058958480015"
10067;"23853060403800015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23853060403800015"
10068;"23853060419090015";Facebook;Facebook and Instagram;Target Ads;Paid;"23853060419090015";"23853060419110015";"23853060419180015"
10069;"23853136896340015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23853136896340015"
10070;"23853687928770015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23853687928770015"
10071;"23853697909820015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23853697909820015"
10072;"23853698022870015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23853698022870015"
10073;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425031380015";"23854425031400015"
10074;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425031380015";"23854425054870015"
10075;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425031380015";"23854425095980015"
10076;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425031380015";"23854425131240015"
10077;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425159770015";"23854425159780015"
10078;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425159770015";"23854425159800015"
10079;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425159770015";"23854425159810015"
10080;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425259840015";"23854425259830015"
10081;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425259840015";"23854425259850015"
10082;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425259840015";"23854425259860015"
10083;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425408310015";"23854425408340015"
10673;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425408310015";"23854425463990015"
10084;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425408310015";"23854425589200015"
10085;"23854485229980015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854485229980015"
10086;"23854485229990015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854485229990015"
10087;"23854485230010015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854485230010015"
10088;"23854485230020015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854485230020015"
10089;"23854485230030015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854485230030015"
10090;"23854485230040015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854485230040015"
10091;"23854485230050015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854485230050015"
10092;"23854485230060015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854485230060015"
10093;"23854485230070015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854485230070015"
10094;"23854485230080015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854485230080015"
10095;"23854485230090015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854485230090015"
10096;"23854485230100015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854485230100015"
10097;"23854485230110015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854485230110015"
10098;"23854510732530015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854510732530015"
10099;"23854512210940015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854512210940015"
10100;"23854512293990015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854512293990015"
10101;"23854512370840015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854512370840015"
10102;"23854512418610015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854512418610015"
10103;"23854512534340015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854512534340015"
10104;"23854512765070015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854512765070015"
10105;"23854512960030015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854512960030015"
10106;"23854512985460015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854512985460015"
10107;"23854513009530015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854513009530015"
10108;"23854513011300015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854513011300015"
10109;"23854693289730015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854693289730015"
10110;"23854808091190015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854808091190015"
10111;"23854808091210015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854808091210015"
10112;"23854808091220015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854808091220015"
10113;"23854808091230015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854808091230015"
10114;"23854808091240015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854808091240015"
10115;"23854808091250015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23854808091250015"
10116;"23855169243190015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23855169243190015"
10117;"23855169243200015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23855169243200015"
10118;"23855169243210015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23855169243210015"
10119;"23855169243220015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23855169243220015"
10120;"23855169243230015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23855169243230015"
10121;"23855169243240015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23855169243240015"
10122;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425259840015";"23857289120860015"
10123;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425159770015";"23857289174730015"
10124;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425031380015";"23857310719560015"
10125;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425159770015";"23857310763200015"
10126;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425159770015";"23857310797540015"
10127;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425259840015";"23857310991660015"
10128;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425031380015";"23857311011320015"
10129;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425408310015";"23857311055800015"
10130;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425259840015";"23857311166540015"
10131;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425408310015";"23857311208400015"
10132;"23857335478750015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23857335478750015"
10133;"23857335605280015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23857335605280015"
10134;"23857335666830015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23857335666830015"
10135;"23857596637100015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23857596637100015"
10136;"23857596770280015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23857596770280015"
10137;"23857596798360015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23857596798360015"
10138;"23857596868970015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23857596868970015"
10139;"23857596897800015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23857596897800015"
10140;"23857596922900015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23857596922900015"
10141;"23857596637030015";Facebook;Facebook and Instagram;Target Ads;Paid;"23857596637030015";"23857597265850015";"23857597265840015"
10142;"23857596637030015";Facebook;Facebook and Instagram;Target Ads;Paid;"23857596637030015";"23857597265850015";"23857597265900015"
10143;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23857622390050015";"23857622390000015"
10144;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23857622390050015";"23857622390010015"
10145;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23857622390050015";"23857622390020015"
10146;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23857622390050015";"23857622390030015"
10147;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23857622390050015";"23857622390060015"
10148;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23857622390050015";"23857622390070015"
10149;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23857622390050015";"23857622390080015"
10150;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23857622390050015";"23857622390090015"
10151;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425408310015";"23857907867970015"
10152;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425408310015";"23857907929010015"
10153;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425259840015";"23858200749450015"
10154;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425159770015";"23858200749460015"
10155;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425259840015";"23858200757770015"
10156;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425159770015";"23858200757780015"
10157;"23858842636860015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23858842636860015"
10158;"23858847048460015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23858847048460015"
10159;"23858847249790015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23858847249790015"
10160;"23858847249850015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23858847249850015"
10161;"23858847249860015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23858847249860015"
10162;"23858847382260015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23858847382260015"
10163;"23858847680810015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23858847680810015"
10164;"23858847680830015";Facebook;Facebook and Instagram;Target Ads;Paid;No CampaignID;No AdsetID;"23858847680830015"
10726;"23857596637030015";Facebook;Facebook and Instagram;Target Ads;Paid;"23857596637030015";"23862014314550015";"23862014446230015"
10165;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23857622390050015";"120200478521840016"
10166;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23857622390050015";"120200478868220016"
10167;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425408310015";"120200481711980016"
10168;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425259840015";"120200481711990016"
10169;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425408310015";"120200481742350016"
10170;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425259840015";"120200650726600016"
10171;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425408310015";"120200650726610016"
10172;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425159770015";"120200650726620016"
10173;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425031380015";"120200650738060016"
10174;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425259840015";"120200650738070016"
10175;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425159770015";"120200650738080016"
10176;"23854425031360015";Facebook;Facebook and Instagram;Target Ads;Paid;"23854425031360015";"23854425408310015";"120200650738090016"
10177;"23857596637030015";Facebook;Facebook and Instagram;Target Ads;Paid;"23857596637030015";"23862014314550015";"120200817493290016"
